municipality_code,latitude,longitude
02202,40.57599,140.46847
02202,40.576,140.49959
02202,40.57603,140.49755
02202,40.57615,140.5191
02202,40.5762,140.45325
02202,40.57624,140.46104
02202,40.57641,140.44178
02202,40.57643,140.45135
02202,40.57657,140.4859
02202,40.57686,140.48859
02202,40.5769,140.50378
02202,40.57714,140.47883
02202,40.57715,140.45017
02202,40.57762,140.45882
02202,40.5779,140.49661
02202,40.57796,140.48284
02202,40.57813,140.46845
02202,40.57822,140.44826
02202,40.5784,140.49235
02202,40.57846,140.46603
02202,40.57847,140.45485
02202,40.57861,140.4742
02202,40.57875,140.47776
02202,40.57883,140.44592
02202,40.5791,140.46318
02202,40.57911,140.4861
02202,40.57936,140.40212
02202,40.57937,140.52156
02202,40.57945,140.49045
02202,40.57947,140.47057
02202,40.57975,140.51272
02202,40.57984,140.32564
02202,40.57999,140.41771
02202,40.57999,140.44185
02202,40.58,140.4589
02202,40.58007,140.48895
02202,40.58014,140.43895
02202,40.58031,140.44485
02202,40.58055,140.46748
02202,40.58059,140.45656
02202,40.58059,140.49673
02202,40.58064,140.50588
02202,40.58065,140.49402
02202,40.5807,140.3961
02202,40.58099,140.47715
02202,40.58102,140.45349
02202,40.58127,140.52309
02202,40.58139,140.47986
02202,40.58142,140.47336
02202,40.58149,140.33458
02202,40.5816,140.486
02202,40.58162,140.41067
02202,40.58174,140.43698
02202,40.58179,140.49995
02202,40.58204,140.42567
02202,40.58211,140.48236
02202,40.58249,140.44684
02202,40.58255,140.45058
02202,40.58271,140.49379
02202,40.58277,140.51965
02202,40.58304,140.46761
02202,40.58307,140.45512
02202,40.58322,140.45848
02202,40.58322,140.51594
02202,40.5834,140.47742
02202,40.58367,140.48831
02202,40.5838,140.38012
02202,40.58382,140.47254
02202,40.58419,140.44523
02202,40.58423,140.50338
02202,40.58424,140.42153
02202,40.5843,140.49657
02202,40.58431,140.50286
02202,40.58439,140.46507
02202,40.58441,140.46226
02202,40.58462,140.48478
02202,40.58476,140.44197
02202,40.58519,140.46489
02202,40.58523,140.51187
02202,40.58531,140.50767
02202,40.58549,140.34505
02202,40.58579,140.45907
02202,40.58595,140.45169
02202,40.58597,140.45539
02202,40.58602,140.4997
02202,40.58624,140.47924
02202,40.58627,140.48831
02202,40.58644,140.49143
02202,40.58652,140.48388
02202,40.58653,140.51409
02202,40.58692,140.35944
02202,40.58698,140.46824
02202,40.58706,140.50185
02202,40.58721,140.5052
02202,40.58727,140.49421
02202,40.58735,140.47862
02202,40.58757,140.50772
02202,40.58758,140.46517
02202,40.58762,140.47204
02202,40.58764,140.49822
02202,40.58788,140.40816
02202,40.58793,140.46229
02202,40.58815,140.44861
02202,40.58831,140.4958
02202,40.58852,140.45637
02202,40.5886,140.44152
02202,40.58861,140.45958
02202,40.58868,140.47592
02202,40.58879,140.42792
02202,40.5888,140.44197
02202,40.58891,140.52262
02202,40.58907,140.48634
02202,40.58932,140.47961
02202,40.58945,140.45276
02202,40.58968,140.4933
02202,40.58983,140.38608
02202,40.59003,140.46169
02202,40.59014,140.51886
02202,40.59044,140.46736
02202,40.59075,140.48995
02202,40.59097,140.4019
02202,40.59113,140.37175
02202,40.5913,140.47044
02202,40.59131,140.39554
02202,40.5914,140.37446
02202,40.59163,140.46568
02202,40.59176,140.39405
02202,40.59183,140.50282
02202,40.59184,140.48407
02202,40.59185,140.49805
02202,40.59188,140.45811
02202,40.59189,140.33189
02202,40.59202,140.4406
02202,40.59206,140.49518
02202,40.59208,140.47442
02202,40.59212,140.32131
02202,40.59215,140.4228
02202,40.59217,140.49119
02202,40.59227,140.51285
02202,40.59233,140.50951
02202,40.59234,140.46238
02202,40.59244,140.481
02202,40.59245,140.45426
02202,40.59252,140.45081
02202,40.59257,140.41
02202,40.59273,140.47718
02202,40.5929,140.48601
02202,40.59293,140.44473
02202,40.59305,140.31315
02202,40.59358,140.46895
02202,40.59369,140.48245
02202,40.5937,140.42542
02202,40.5938,140.47829
02202,40.59407,140.50598
02202,40.59423,140.47338
02202,40.59425,140.49728
02202,40.59451,140.48996
02202,40.59467,140.39217
02202,40.59481,140.39677
02202,40.59485,140.51817
02202,40.59489,140.47055
02202,40.59491,140.50933
02202,40.59492,140.51926
02202,40.59496,140.49537
02202,40.59501,140.52302
02202,40.59502,140.50966
02202,40.59515,140.48107
02202,40.59526,140.5021
02202,40.59549,140.46384
02202,40.59552,140.33832
02202,40.59559,140.3856
02202,40.59561,140.50652
02202,40.59568,140.40569
02202,40.59568,140.44582
02202,40.59575,140.45648
02202,40.59577,140.48952
02202,40.59579,140.44172
02202,40.5958,140.45009
02202,40.59582,140.512
02202,40.59599,140.51025
02202,40.59618,140.43536
02202,40.59626,140.35118
02202,40.59626,140.38802
02202,40.59629,140.47461
02202,40.59637,140.48366
02202,40.59644,140.45507
02202,40.59645,140.49515
02202,40.59664,140.39436
02202,40.59672,140.46935
02202,40.5968,140.46386
02202,40.59689,140.47955
02202,40.59691,140.38459
02202,40.59743,140.4146
02202,40.59747,140.45438
02202,40.59753,140.47229
02202,40.59757,140.46642
02202,40.59757,140.48811
02202,40.59759,140.47084
02202,40.59762,140.48569
02202,40.59766,140.41812
02202,40.59776,140.47368
02202,40.5979,140.49094
02202,40.59793,140.51584
02202,40.59794,140.46742
02202,40.59795,140.42266
02202,40.59817,140.49851
